     model       data     #                    description     weight
  0.024878   0.010100     1         empl_trans_large2small   1.000000
  0.036053   0.014000     2         empl_trans_small2large   1.000000
  0.795115   0.752700     3                      probSmall   1.000000
  0.361122   0.393200     4                      share_5yr   1.000000
  0.022250   0.022400     5               aggregate growth   5.000000
  0.103811   0.106570     6           firm_exit_rate_s1_a1   1.000000
  0.101592   0.077470     7           firm_exit_rate_s1_a2   1.000000
  0.039033   0.036250     8           firm_exit_rate_s2_a2   1.000000
  0.099996   0.075100     9     mean_rnd_to_ship_s1_a1_imp   1.000000
  0.066566   0.048000    10     mean_rnd_to_ship_s1_a2_imp   1.000000
  0.066070   0.055200    11     mean_rnd_to_ship_s2_a2_imp   1.000000
  0.079718   0.079400    12     mean_ship_growth_s1_a1_def   1.000000
  0.019631   0.019400    13     mean_ship_growth_s1_a2_def   1.000000
 -0.022949  -0.022200    14     mean_ship_growth_s2_a2_def   1.000000
  0.077876   0.073200    15         mean_empl_growth_s1_a1   1.000000
  0.020437   0.027500    16         mean_empl_growth_s1_a2   1.000000
 -0.022753  -0.032900    17         mean_empl_growth_s2_a2   1.000000
  3.283736   5.035000    18     Fixed Cost-R&D Labor Ratio   1.000000

score =   0.236017

